"Channel Title","Channel URL","Channel ID",Position,"Video Title","Video URL","Video ID","Publish Date",Duration,Views,Description,"Thumbnail URL","Availability Status"
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,1,"Psychogram [Thai cover by meen]",https://www.youtube.com/watch?v=WrjjBjY0rGQ,WrjjBjY0rGQ,2026-07-12T11:28:49Z,03:45,78,"ฉันคลั่งรักเธอมากเหลือเกิน
หมายถึงเหล่าคนดู--- (?)

คิดถึงสุดๆ แต่ก็มาๆหายๆแบบนี้แหละฮะ
ช่วงนี้ค่อนข้างเหนื่อยกับหลายๆอย่างเลย
แต่ได้หาเพลงร้องได้ก็ทำให้ชีวิตมีสีสันบ้าง
ไม่ดีไม่แย่ มาช้า แต่ยังอยู่นะคะ อิอิ

Music: DECO*27
Arrangement: Rockwell

Movie by OTOIRO
Director & Animator: ろづ希
Logo Design: DMYM
BG Illustrator: No.734
Editor: イノウエマナ
Supervisor: akka

https://youtu.be/VE4wegMHIMk?si=rszYIG9hLz4Au4Br

Thank you Thai lyrics : BEARISS
https://youtu.be/lABgrirFYuc?si=yjmVOGi3jsgDkfpm

Thank you Mix : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/WrjjBjY0rGQ/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,2,"ベルセルク Berserk [Thai ver by Meen]",https://www.youtube.com/watch?v=lrsN9oeGaO8,lrsN9oeGaO8,2026-06-23T13:13:16Z,03:14,109,"ดองจนเค็ม ดองจนบูด
เพลงที่ว่าจะทำตั้งแต่แรกๆที่ได้รู้จักกับมือมิกซ์
จนตอนนี้เผชิญชีวิตวัยทำงานกันละ
พึ่งจะได้ลง สภาพ--- XD

lyrics : Meen x zxbara

Original Song
Movie : まふてる
Music : まふまふ
https://youtu.be/ZeDGODkAoxU?si=yrYANMJQdifyBOrv

Thank you Mix : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/lrsN9oeGaO8/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,3,"携帯恋話 Keitai Renwa [Cover by Meen]",https://www.youtube.com/watch?v=eVGeWOGNK3g,eVGeWOGNK3g,2026-03-06T13:00:06Z,04:17,138,"มาช้า แต่พยายามจัดเต็มทุกครั้งที่กลับมา YT
วันนี้วันเกิดมีนอีกครั้ง เย่ !
พอดีกับมือมิกซ์ทำงานเสร็จพอเลย เลยลงวันนี้ซะเลย

เพลงนี้เป็นเพลงแห่งความทรงจำของ Meen สมัยเรียนมหาลัยเลย
ถ้าใครเลยดูเวอร์ชั่นเดอะแก้ง นั่นแหละ คิดถึงแก้งนี้สุดๆ
ก็...ไม่รู้จะพิมพ์อะไร ก็หวังว่าจะยังอยู่ด้วยกันและชอบผลงานนะคะ

Original Song
歌／作詞作編曲
まふまふ
https://www.youtube.com/watch?v=bNagYg_YGbU

Thank you Mix : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/eVGeWOGNK3g/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,4,"Bad Apple!! (SEKAI) [Thai cover by meen]",https://www.youtube.com/watch?v=FioxYZcxcIg,FioxYZcxcIg,2026-01-25T12:00:06Z,03:52,349,"แอปแย่ในตำนาน BUT Sekai Version XD

『Bad Apple!! feat.SEKAI』
25時、ナイトコードで。 × 初音ミク
https://youtu.be/v-fc1zv31zE?si=yH7m8x-6wqBMH1Ks

Thank you Thai lyrics : tamania090
https://youtu.be/a96l8cEwiOI?si=kK6DTWFyw-hKy9cc

Thank you Mix : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/FioxYZcxcIg/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,5,"Love And Deepspace theme song [Thai cover by Meen]",https://www.youtube.com/watch?v=INGrMwbJOnY,INGrMwbJOnY,2025-11-07T13:00:07Z,03:30,131,"ครั้งนี้มาแปลก เพราะโดนเพื่อนป้ายจนหนักกว่าเพื่อน 555
ถ้าใครถาม... หนูเมนดงแอปเปิ้ลค่ะ อิอิ

Original Song : Love And Deepspace (Sarah Brightman)
https://youtu.be/urONohYpdVA?si=riJbzh4_SGFef2xD

Thank you Thai lyrics : FAHPAH
https://youtu.be/9PkvDmC9YSA?si=qHSarGmBujvWD61Q

Thank you Mix : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/INGrMwbJOnY/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,6,"心做し (Kokoronashi) [Thai cover by Meen]",https://www.youtube.com/watch?v=GVynhCvh86g,GVynhCvh86g,2025-07-07T13:00:06Z,04:30,375,"หาอะไรลงช่องที่แทบจะร้างอยู่แล้ว มาทีไรปัดฝุ่นทุกที
หลังๆมาหมดไฟในการแปลเองมากเลยค่ะ แต่ก็พยายามอยู่
วันนี้ก็หาเพลงลงได้บ้างซักที หวังว่าจะชอบนะคะ

Original Song
Music & Lyrics : papiyon (ChouchouP) 
https://youtu.be/3SkNrZnoK5w?feature=shared

Thank you Thai lyrics : crin
https://www.facebook.com/notes/1262591210751775/

Thank you Mix : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/GVynhCvh86g/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,7,"Mozaik Role (Reloaded) [Thai cover by Meen]",https://www.youtube.com/watch?v=T8BG8rwgcK4,T8BG8rwgcK4,2025-03-09T08:00:31Z,02:40,704,"ไม่ได้ทักทายกันเลยตั้งแต่ปีใหม่
ปีนี้ Meen ค่อนข้างหมดไฟค่ะQvQ ทั้งงานเอย เล่นเอย ไม่เป็นอันทำอะไรเลย
อาจจะไม่ค่อยมีแปลเองเท่าไหร่ แต่จะหาเพลงมา Cover เรื่อยๆนะคะ
อันนี้ก็ถือว่าวอร์ม ยังไม่ค่อยมีแรงเท่าไหร่ แต่ก็อยากร้อง แฮะๆ
ต้องขออภัยสำหรับผู้ติดตามด้วยนะคะ

Original Song
Lyrics & Music: DECO*27 
Arrangement: Rockwell
Movie by OTOIRO
Movie Director: DMYM
Art Director / Designer: yuka fujii
Illustrator: 83
Motion Graphics Designer: GA
Project Manager: Iori Maijma
Sound Product Manager: Yusuke Sato
https://youtu.be/WysuxO4yR04?feature=shared

Thank you Thai lyrics : Yutake

Thank you Mix : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/T8BG8rwgcK4/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,8,"ULTRA C [Thai ver by Meen x zxbara]",https://www.youtube.com/watch?v=vRzLr-vkN2Y,vRzLr-vkN2Y,2024-12-27T13:00:06Z,03:01,554,"เพลงนี้มันเกิดจากที่พี่ชายของเราอยากจะ Go all outtttttt
เลยถามย้ำว่าแล้วเนื้อไหน เนื้อไทยไง ใครเขียน Meen เอง 55555+
ไม่หรอกฮะ ถือว่าช่วยๆกัน ได้ร้องแหกตาก็สนุกดี 55
ก็ถือโอกาศเอามาลงวันเกิดหนูรินเลนซะเลย หวังว่าจะชอบนะฮะ

lyrics : Meen x zxbara
https://www.smule.com/song/thai-ver-by-meen-th-ultra-c-karaoke-lyrics/21076864_21076864/arrangement

Original Song
Vocal : Rin・Len
Music : TeddyLoid https://x.com/TeddyLoidSpace
　　　　Giga https://x.com/GigaMozuku
Lyrics : Reol https://x.com/RRReol
Illust : △○□× https://x.com/miwasiba
Movie : 筆者 https://x.com/ohissya
                 お菊 https://x.com/__Lizel
https://youtu.be/KF9Mu2gXNdI?feature=shared

Thank you Translate : DINSOR Zz
https://youtu.be/aqsySGxK9P4?feature=shared

Thank you Mix and Vocal : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/vRzLr-vkN2Y/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,9,"The Poor Rabbit's Song (บทเพลงกระต่ายผู้เศร้าหมอง) [Thai ver by Meen]",https://www.youtube.com/watch?v=8uzvamM9sjE,8uzvamM9sjE,2024-10-31T11:00:16Z,01:21,172,"เป็นฮาโลวีนที่กระชั้นชิดมาก แบบอยากทำเพลงนะแต่เวลาไม่พอเท่าไหร่
เลยหาเพลงอัดใน Smule ง่ายๆ และก็นึกถึงเพลงนี้
ใครรู้จักคือไม่ธรรมดาเลยล่ะ เพลงเก่ามากและต้นฉบับก็หายไปหมดแล้วด้วย
(และนี่ก็ขยันหาซะด้วย 55555)
Happy Halloween นะฮับทุกคน !

Thank you for watching ^_^",https://i.ytimg.com/vi/8uzvamM9sjE/hqdefault.jpg,available
"Meen Thaisub",https://www.youtube.com/@meenthaisub,UC3INtPxO33d5mSLLYRnxLgQ,10,"Twilight Light (แสงสนธยา) [Thai ver by Meen]",https://www.youtube.com/watch?v=WfUlrhIbvaY,WfUlrhIbvaY,2024-09-27T12:00:31Z,03:18,"1,121","สปอยเพลงตั้งแต่ต้นปี ลงอีกทีเกือบหมดปีแล้ว 55
แต่เพราะเราอยากทำให้มันออกมาดีที่สุด
ก็คิดว่าได้เวลาอันสมควรที่จะได้ปล่อยเพลงนี้ซักที
หวังว่าทุกคนจะชอบนะฮะ

Thai lyrics : Meen Thaisub
https://www.smule.com/song/thai-ver-by-meen-th-twilight-light-karaoke-lyrics/20729863_20729863/arrangement

Original Song
Lyrics, Music, Arrangement : Toa
Illustration : Satoshi Bouno
https://youtu.be/ydb05OX2U7M?feature=shared

Thank you Video : プロジェクトセカイ カラフルステージ! feat. 初音ミク
https://youtu.be/dk13KyWwZn4?feature=shared

Thank you Mix : zxbara
https://www.youtube.com/channel/UC-ROc4i4FMJN0fyMINFAYPw

Thank you for watching ^_^",https://i.ytimg.com/vi/WfUlrhIbvaY/hqdefault.jpg,available
